Gene,Temp37_effect_size,Temp37_fdr
orf19.1693,0.334380858,0.239111566
orf19.7520,0.334294842,0.141578991
orf19.5441,0.333450039,0.610413446
orf19.5729,0.332860771,0.392600506
orf19.4175,0.332070841,0.331236531
orf19.3263,0.332070239,0.350939448
orf19.2952,0.329574848,0.40881719
orf19.1914,0.329232962,0.310965708
orf19.206,0.328605953,0.388945469
orf19.5848,0.328592682,0.24283527
orf19.822,0.328005693,0.398536349
orf19.7257,0.32698625,0.407948854
orf19.1010,0.326912958,0.501376156
orf19.6869,0.325414288,0.561275399
orf19.5628,0.323577103,0.5821285
orf19.6063,0.322388574,0.392600506
orf19.7156,0.321394128,0.352010095
orf19.4571,0.32039323,0.549697388
orf19.4573,0.320152651,0.263130979
orf19.6323,0.319620488,0.373130488
orf19.2297,0.319415166,0.436258678
orf19.3929,0.318926364,0.589045569
orf19.4459,0.318028416,0.413985914
orf19.933,0.315607555,0.458485098
orf19.5609,0.315283591,0.291006842
orf19.4916,0.315021083,0.339816175
orf19.3736,0.314039294,0.287609337
orf19.6847,0.313603562,0.687470927
orf19.100,0.313595421,0.439305424
orf19.2468,0.313075932,0.598138706
orf19.1240,0.312621454,0.595985619
orf19.1357,0.311941115,0.313054522
orf19.1532,0.311407203,0.489214183
orf19.3370,0.309046253,0.721112643
orf19.4563,0.308112797,0.339816175
orf19.988,0.306862379,0.41292664
orf19.5426,0.306412839,0.30650376
orf19.5046,0.305560857,0.362924314
orf19.2419,0.305542954,0.542482909
orf19.3775,0.305532511,0.385850273
orf19.5561,0.303080697,0.388009522
orf19.575,0.303032351,0.480115935
orf19.2908,0.302392517,0.52690044
orf19.3689,0.30200662,0.504991419
orf19.5677,0.301189976,0.318378801
orf19.2474,0.30071077,0.444900134
orf19.2186,0.30053594,0.471748313
orf19.2311,0.30018842,0.469226926
orf19.2014,0.297695264,0.536589488
orf19.1490,0.297309861,0.681183042
orf19.1641,0.296058518,0.439305424
orf19.130,0.295098594,0.454205051
orf19.6306,0.294489573,0.458485098
orf19.6933,0.294250777,0.318378801
orf19.5517,0.29371848,0.577144521
orf19.1479,0.293355919,0.608980722
orf19.7229,0.293316263,0.558095729
orf19.2302,0.292861187,0.325609839
orf19.6425,0.292798924,0.40949129
orf19.6502,0.292521558,0.401463554
orf19.612,0.291763934,0.486156021
orf19.5553,0.290547262,0.478539093
orf19.5068,0.288167622,0.679486095
orf19.2165,0.287924638,0.398536349
orf19.2882,0.287907727,0.465954672
orf19.3152,0.287353801,0.478539093
orf19.7360,0.286934061,0.222480953
orf19.6082,0.286667931,0.703036756
orf19.5605,0.286403769,0.592615124
orf19.3937,0.286399442,0.442998311
orf19.1028,0.284683594,0.634614026
orf19.2036,0.284230197,0.461191333
orf19.158,0.284203853,0.431128146
orf19.1587,0.283050485,0.56763936
orf19.367,0.282813148,0.479347092
orf19.2370,0.281934544,0.498496146
orf19.4044,0.281544515,0.628941571
orf19.3932,0.281188082,0.631138936
orf19.6060,0.281088532,0.478539093
orf19.3173,0.279884264,0.628941571
orf19.3335,0.279752467,0.480990219
orf19.6918,0.279165054,0.491223495
orf19.943,0.278793947,0.480115935
orf19.2060,0.277662106,0.395610605
orf19.5224,0.277616235,0.501854041
orf19.4014,0.277077669,0.461191333
orf19.2326,0.276919418,0.571321989
orf19.176,0.276770909,0.479558944
orf19.1495,0.275398519,0.42527502
orf19.7665,0.272643399,0.551912589
orf19.6263,0.26971254,0.42527502
orf19.308,0.269674728,0.519092261
orf19.5962,0.269380423,0.703325458
orf19.4608,0.26820265,0.3825897
orf19.5752,0.268086169,0.436258678
orf19.7112,0.267874024,0.549697388
orf19.5058,0.266957881,0.456976486
orf19.3111,0.266155727,0.479105078
orf19.6043,0.265893809,0.426424465
orf19.3016,0.263364654,0.493352744
orf19.1200,0.263235538,0.436117351
orf19.1608,0.263183174,0.464085218
orf19.4461,0.262474294,0.392600506
orf19.4668,0.261342655,0.482714502
orf19.3821,0.261018149,0.591273528
orf19.543,0.260979796,0.534379945
orf19.5496,0.260255673,0.696900051
orf19.7016,0.258737643,0.56406532
orf19.5749,0.258663864,0.592615124
orf19.1723,0.257925974,0.469226926
orf19.5335,0.257820817,0.526955509
orf19.642,0.257464165,0.484402133
orf19.4446,0.256510639,0.514042379
orf19.6054,0.256255008,0.589045569
orf19.6747,0.255232414,0.520203628
orf19.4922,0.255109071,0.592615124
orf19.412,0.25509953,0.753412423
orf19.6271,0.254882671,0.416983515
orf19.246,0.254028797,0.478539093
orf19.2681,0.253989245,0.630722455
orf19.5676,0.253648724,0.518144013
orf19.3687,0.253332456,0.47378058
orf19.7105,0.251311689,0.617350582
orf19.2580,0.251087593,0.512373395
orf19.1782,0.251074169,0.315527482
orf19.5975,0.250940118,0.603174447
orf19.553,0.250673424,0.388009522
orf19.7030,0.250039499,0.474806357
orf19.2269,0.249065992,0.533762299
orf19.5830,0.249043199,0.662134339
orf19.4761,0.248910838,0.704710905
orf19.1310,0.248115341,0.694181947
orf19.3282,0.247101507,0.475434339
orf19.1639,0.246915559,0.362261579
orf19.4269,0.246435251,0.703325458
orf19.7637,0.246016737,0.533855496
orf19.2346,0.245184945,0.517851883
orf19.6623,0.244866134,0.605811937
orf19.4699,0.244849289,0.690419274
orf19.426,0.244775743,0.532911026
orf19.1108,0.244752338,0.577961727
orf19.6305,0.244386611,0.491579595
orf19.1326,0.242866493,0.558981439
orf19.11,0.241978229,0.660696531
orf19.4432,0.241781977,0.625593668
orf19.734,0.241438701,0.764607351
orf19.1135,0.240498295,0.50290501
orf19.3406,0.240299313,0.597604611
orf19.3136,0.23996582,0.61338502
orf19.4950,0.238527501,0.577961727
orf19.4780,0.237832254,0.610413446
orf19.5455,0.237626522,0.486156021
orf19.5604,0.237545077,0.551458438
orf19.2544,0.237340823,0.612592239
orf19.3757,0.236854851,0.491138804
orf19.7437,0.236782626,0.554922387
orf19.6007,0.234892127,0.653406688
orf19.1998,0.233885359,0.643833859
orf19.889,0.233775997,0.638307812
orf19.4370,0.233267884,0.57793762
orf19.260,0.23255217,0.60412525
orf19.3649,0.232122521,0.674835738
orf19.7184,0.231629313,0.522786871
orf19.3895,0.231484968,0.476170887
orf19.2425,0.231075692,0.565911334
orf19.6577,0.230912241,0.772692106
orf19.6324,0.230797184,0.545788163
orf19.2878,0.230577517,0.617043075
orf19.277,0.230386813,0.558176433
orf19.300,0.229545854,0.552968572
orf19.3710,0.228136375,0.586892016
orf19.2075,0.227843182,0.618546406
orf19.7460,0.224284484,0.706857814
orf19.6185,0.223946322,0.501854041
orf19.1667,0.223624311,0.610942627
orf19.1327,0.223189646,0.48080063
orf19.1171,0.223028189,0.623972539
orf19.698,0.222905582,0.610942627
orf19.4222,0.221864012,0.681443507
orf19.5118,0.220790094,0.687496884
orf19.3352,0.220784249,0.59967411
orf19.1616,0.220177157,0.625924816
orf19.3267,0.219887134,0.42527502
orf19.5292,0.219604514,0.603561332
orf19.3899,0.219083529,0.739104819
orf19.1729,0.21859073,0.65038118
orf19.354,0.218072888,0.57891506
orf19.6379,0.217431212,0.561730871
orf19.6665,0.21672793,0.703325458
orf19.3228,0.216551714,0.5821285
orf19.6784,0.215859365,0.693795145
orf19.2947,0.214626329,0.618546406
orf19.6773,0.214439609,0.610288579
orf19.5966,0.214096609,0.513419707
orf19.4785,0.213773295,0.556031359
orf19.1709,0.213278386,0.617151031
orf19.4984,0.213185718,0.422365935
orf19.1632,0.212226696,0.479558944
orf19.7490,0.210647351,0.674006405
orf19.5524,0.210643744,0.605230816
orf19.6995,0.210051602,0.509602503
orf19.4356,0.209559057,0.677524426
orf19.1497,0.209227318,0.5821285
orf19.7444,0.209074773,0.478539093
orf19.797,0.208524016,0.717963696
orf19.1523,0.207920336,0.808392957
orf19.5587,0.207875433,0.59674067
orf19.309,0.207836367,0.40949256
orf19.6899,0.207214322,0.674729909
orf19.7328,0.207120256,0.643833859
orf19.7538,0.206970294,0.657969582
orf19.3915,0.206436479,0.640964017
orf19.2451,0.205998432,0.623972539
orf19.6952,0.205993508,0.516583796
orf19.6134,0.205792175,0.729086476
orf19.2396,0.20562763,0.647070095
orf19.3612,0.205115775,0.606840975
orf19.7382,0.204635419,0.561979202
orf19.4981,0.204052905,0.5821285
orf19.3102,0.203964905,0.847773768
orf19.1900,0.203884906,0.610413446
orf19.5219,0.203844477,0.625593668
orf19.4474,0.203419134,0.656733609
orf19.1681,0.20323397,0.592615124
orf19.1291,0.203075625,0.578172155
orf19.6994,0.202620841,0.589345898
orf19.4067,0.202175333,0.659134945
orf19.5999,0.199808435,0.718539065
orf19.191,0.199174232,0.657571223
orf19.7464,0.199033598,0.617350582
orf19.5757,0.198927858,0.628119136
orf19.2050,0.198513083,0.529801623
orf19.1451,0.197770201,0.771610839
orf19.4278,0.196682089,0.685996852
orf19.432,0.196232495,0.751130554
orf19.4496,0.195206454,0.588541471
orf19.5067,0.195098667,0.763881912
orf19.7365,0.193581719,0.679178979
orf19.541,0.192713766,0.675828457
orf19.1121,0.192641996,0.768977516
orf19.118,0.192611297,0.696105096
